mix_id,title,url,audio_source,audio_url,num_identified_tracks,num_total_tracks,num_available_transitions,num_timestamps,num_tracklist,tags
mix0017,1995-04-23 - Portishead - Essential Mix,https://www.mixesdb.com/w/1995-04-23_-_Portishead_-_Essential_Mix,soundcloud,http://soundcloud.com/jamiedmusic/portishead-1995-04-23,33,45,22,0,45,Category:Portishead|Category:Essential Mix|Category:Hip Hop|Category:Funk|Category:Soul|Category:Jazz
mix0018,"1995-04-28 - Sven Väth @ Babylon, Greensboro, North Carolina","https://www.mixesdb.com/w/1995-04-28_-_Sven_V%C3%A4th_@_Babylon,_Greensboro,_North_Carolina",mixcloud,https://www.mixcloud.com/6277MISSION/sven-vath-babylon-north-carolina-usa28-04-1995/,13,14,11,14,14,Category:Sven Väth|Category:Babylon (Greensboro)|Category:Techno
mix0019,"1995-05-27 - Surgeon @ House Of God, Birmingham","https://www.mixesdb.com/w/1995-05-27_-_Surgeon_@_House_Of_God,_Birmingham",soundcloud,http://soundcloud.com/dynamic-tension/surgeon-at-hog-1995,25,29,21,0,29,Category:Surgeon|Category:House Of God|Category:Techno
mix0020,1995-08-20 - Nick Warren - Essential Mix,https://www.mixesdb.com/w/1995-08-20_-_Nick_Warren_-_Essential_Mix,mixcloud,https://www.mixcloud.com/DJ_Mix/nick-warren-essential-mix-1995-08-20/,24,31,17,0,31,Category:Nick Warren|Category:Essential Mix|Category:Progressive House
mix0021,1995-10-07 - A Guy Called Gerald - Essential Mix,https://www.mixesdb.com/w/1995-10-07_-_A_Guy_Called_Gerald_-_Essential_Mix,soundcloud,https://soundcloud.com/rave_on/a-guy-called-gerald-live-essential-mix-07101995,32,38,27,0,38,Category:A Guy Called Gerald|Category:Essential Mix|Category:Drum & Bass
mix0022,1995-11-18 - Laurent Garnier - Essential Mix,https://www.mixesdb.com/w/1995-11-18_-_Laurent_Garnier_-_Essential_Mix,soundcloud,http://soundcloud.com/laurent-garnier/laurent-garnier-essential,24,30,18,30,30,Category:Laurent Garnier|Category:Essential Mix|Category:Tech House
mix0023,"1995-12 - Moodymann - Novamix, Radio Nova","https://www.mixesdb.com/w/1995-12_-_Moodymann_-_Novamix,_Radio_Nova",mixcloud,https://www.mixcloud.com/R_co/moodymann-radio-nova-paris-1995/,11,14,9,14,14,Category:Moodymann|Category:Novamix|Category:Deep House
mix0024,"1996-03-16 - LTJ Bukem & MC Conrad @ Meditation III, Walzmühle, Ludwigshafen","https://www.mixesdb.com/w/1996-03-16_-_LTJ_Bukem_%26_MC_Conrad_@_Meditation_III,_Walzm%C3%BChle,_Ludwigshafen",soundcloud,https://soundcloud.com/dj-jo-public/ltj-bukem-mc-conrad-live-meditation-96-97-deep-soul-n-jazz-dnb,11,16,7,0,16,Category:LTJ Bukem|Category:MC Conrad|Category:Meditation|Category:Walzmühle|Category:Drum & Bass
mix0025,"1996-09-16 - Grooverider & MC Cleveland Watkiss @ Metalheadz Platinum Breakz Tour, Zap Club, Brighton","https://www.mixesdb.com/w/1996-09-16_-_Grooverider_%26_MC_Cleveland_Watkiss_@_Metalheadz_Platinum_Breakz_Tour,_Zap_Club,_Brighton",soundcloud,https://soundcloud.com/metalheadz/grooverider-metalheadz-platinum-breakz-tour-zap-club-brighton-16091996,15,18,13,0,18,Category:Grooverider|Category:MC Cleveland Watkiss|Category:Zap Club|Category:Drum & Bass
mix0026,1996-10-28 - DJ Sneak & Princess Julia - The Kinky Trax Collection (Promo Mix),https://www.mixesdb.com/w/1996-10-28_-_DJ_Sneak_%26_Princess_Julia_-_The_Kinky_Trax_Collection_(Promo_Mix),mixcloud,https://www.mixcloud.com/Dpunk/dj-sneak-princess-julia-the-kinky-trax-collection-1996-princess-julia/,28,35,21,35,35,Category:DJ Sneak|Category:Princess Julia|Category:Promo Mix|Category:House
mix0027,1996 - Blu Mar Ten - From The Vaults Vol.8 - Intelligent D&B Mix,https://www.mixesdb.com/w/1996_-_Blu_Mar_Ten_-_From_The_Vaults_Vol.8_-_Intelligent_D%26B_Mix,soundcloud,http://soundcloud.com/blumarten/blu-mar-ten-from-the-vaults-vol-8-intelligent-d-b-mix-1996,19,19,18,0,19,Category:Blu Mar Ten|Category:From The Vaults|Category:Drum & Bass
mix0028,1996 - Grooverider @ Roast Sunday Sessions,https://www.mixesdb.com/w/1996_-_Grooverider_@_Roast_Sunday_Sessions,mixcloud,https://www.mixcloud.com/rickywalker167/grooverider-mc-moose-roast-sunday-sessions-1996/,17,20,15,0,20,Category:Grooverider|Category:MC Moose|Category:Roast|Category:SW1 Club|Category:Drum & Bass
mix0029,"1997-01-20 - Kemistry & Storm @ Metalheadz Sunday Session, Blue Note, London","https://www.mixesdb.com/w/1997-01-20_-_Kemistry_%26_Storm_@_Metalheadz_Sunday_Session,_Blue_Note,_London",soundcloud,https://soundcloud.com/djstormdnb/kemistry-storm-wjustyce-metalheadz-sunday-sessions-blue-note-london-uk-20011997,21,23,19,0,23,Category:Kemistry|Category:Storm|Category:MC Justyce|Category:Metalheadz|Category:Blue Note|Category:Drum & Bass
mix0030,1997-01-26 - Grooverider - Essential Mix,https://www.mixesdb.com/w/1997-01-26_-_Grooverider_-_Essential_Mix,soundcloud,https://soundcloud.com/barneytrouble/grooverider-bbc-essential-mix-1997-01-26,25,26,23,26,26,Category:Grooverider|Category:Essential Mix|Category:Drum & Bass
mix0031,1997-03-02 - Daft Punk - Essential Mix,https://www.mixesdb.com/w/1997-03-02_-_Daft_Punk_-_Essential_Mix,soundcloud,https://soundcloud.com/retailgroup/daft-punk-essential-mix-1997,33,36,30,0,36,Category:Daft Punk|Category:Essential Mix|Category:House
mix0032,1997-05-04 - Jonny L - Essential Mix,https://www.mixesdb.com/w/1997-05-04_-_Jonny_L_-_Essential_Mix,mixcloud,https://www.mixcloud.com/dnbclassics/jonny-l-essential-mix-1997-05-04/,24,24,23,2,24,Category:Jonny L|Category:Essential Mix|Category:Drum & Bass
mix0033,1997-11-23 - Steffen Irlinger & Ingo Sänger @ 1Live Treibhaus,https://www.mixesdb.com/w/1997-11-23_-_Steffen_Irlinger_%26_Ingo_S%C3%A4nger_@_1Live_Treibhaus,soundcloud,https://soundcloud.com/mufflon/1live-treibhaus-1997-11-15,24,32,18,0,32,Category:Steffen Irlinger|Category:Ingo Sänger|Category:1Live Treibhaus|Category:House|Category:Drum & Bass
mix0034,1997 - Ian Pooley @ Traxx,https://www.mixesdb.com/w/1997_-_Ian_Pooley_@_Traxx,mixcloud,https://www.mixcloud.com/Dpunk/ian-pooley-traxx-1997/,24,25,22,25,25,Category:Ian Pooley|Category:Unknown Gig / Location|Category:House
mix0035,"1997 - Presha @ The Breaks, Auckland","https://www.mixesdb.com/w/1997_-_Presha_@_The_Breaks,_Auckland",soundcloud,https://soundcloud.com/future-proof-archive/live-at-the-breaks-1997,27,28,25,0,28,Category:Presha|Category:The Breaks|Category:Drum & Bass
mix0036,"1998-02-14 - Andy C @ One Nation - The Valentine's Experience Part 5, Sanctuary Music Arena, Milton Keynes","https://www.mixesdb.com/w/1998-02-14_-_Andy_C_@_One_Nation_-_The_Valentine%27s_Experience_Part_5,_Sanctuary_Music_Arena,_Milton_Keynes",mixcloud,https://www.mixcloud.com/rickywalker167/andy-c-one-nation-the-valentines-experience-part-5-14th-feb-1998/,17,18,15,0,18,Category:Andy C|Category:MC Shabba|Category:MC Fats|Category:MC Foxy|Category:MC 5ive-0|Category:One Nation (2)|Category:The Sanctuary|Category:Drum & Bass
mix0037,"1998-02-14 - Randall @ One Nation - The Valentine's Experience Part 5, Sanctuary Music Arena, Milton Keynes","https://www.mixesdb.com/w/1998-02-14_-_Randall_@_One_Nation_-_The_Valentine%27s_Experience_Part_5,_Sanctuary_Music_Arena,_Milton_Keynes",mixcloud,https://www.mixcloud.com/rickywalker167/randall-one-nation-the-valentines-experience-part-5-14th-feb-1998/,15,15,14,0,15,Category:Randall|Category:Stevie Hyper D|Category:MC Det|Category:MC Flux|Category:MC Fats|Category:MC 5ive-0|Category:One Nation (2)|Category:The Sanctuary|Category:Drum & Bass
mix0038,"1998-04-10 - Andy C & MC Rage @ Desire - The Rezerection, Bagleys, London","https://www.mixesdb.com/w/1998-04-10_-_Andy_C_%26_MC_Rage_@_Desire_-_The_Rezerection,_Bagleys,_London",html_audio,https://archive.org/download/2000ADProductions-BagleysKingsCrossLondon-1998-04-10/801-Andy_C_feat__Rage-2000AD_Productions_%28Desire__The_Rezerection_%29-192kbps-KMA.mp3,15,17,12,0,17,Category:Andy C|Category:MC Rage|Category:Desire|Category:Bagleys|Category:Drum & Bass
mix0039,"1998-04-10 - Darren Jay @ Desire - The Rezerection, Bagleys, London","https://www.mixesdb.com/w/1998-04-10_-_Darren_Jay_@_Desire_-_The_Rezerection,_Bagleys,_London",html_audio,https://archive.org/download/2000ADProductions-BagleysKingsCrossLondon-1998-04-10/302-Darren_Jay_feat__GQ_%26_Fearless-2000AD_Productions_%28Desire__The_Rezerection_%29-192kbps-KMA.mp3,14,15,12,0,15,Category:Darren Jay|Category:MC GQ|Category:MC Fearless|Category:Desire|Category:Bagleys|Category:Drum & Bass
mix0040,"1998-04-10 - Randall @ Desire - The Rezerection, Bagleys, London","https://www.mixesdb.com/w/1998-04-10_-_Randall_@_Desire_-_The_Rezerection,_Bagleys,_London",html_audio,https://archive.org/download/2000ADProductions-BagleysKingsCrossLondon-1998-04-10/401-Randall_feat__GQ_%26_Fearless-2000AD_Productions_%28Desire__The_Rezerection_%29-192kbps-KMA.mp3,13,15,10,0,15,Category:Randall|Category:MC GQ|Category:MC Fearless|Category:Desire|Category:Bagleys|Category:Drum & Bass
mix0041,"1998-05-06 - Paul Oakenfold @ Nikita, 1015 Folsom, San Francisco","https://www.mixesdb.com/w/1998-05-06_-_Paul_Oakenfold_@_Nikita,_1015_Folsom,_San_Francisco",soundcloud,https://soundcloud.com/rave_on/paul-oakenfold-live-nikita-1015-folsom-san-francisco-05061998,19,20,17,0,20,Category:Paul Oakenfold|Category:1015 Folsom|Category:Trance
mix0042,1998-07 - Ant TC1 - July Studio Mix,https://www.mixesdb.com/w/1998-07_-_Ant_TC1_-_July_Studio_Mix,soundcloud,https://soundcloud.com/anttc1/ant-tc1-studio-mix-july-1998-extracted-from-tape,21,25,17,0,25,Category:Ant TC1|Category:Promo Mix|Category:Drum & Bass
mix0043,"1998-11-21 - Surgeon @ Tresor, Berlin","https://www.mixesdb.com/w/1998-11-21_-_Surgeon_@_Tresor,_Berlin",mixcloud,https://www.mixcloud.com/LDJM/surgeon-at-dynamic-tension-labelnight-tresor-berlin-germany-21-november-1998/,19,22,15,0,22,Category:Surgeon|Category:Tresor|Category:Techno
mix0044,"1998-11-28 - Paul van Dyk @ Dorian Gray, Frankfurt","https://www.mixesdb.com/w/1998-11-28_-_Paul_van_Dyk_@_Dorian_Gray,_Frankfurt",soundcloud,https://soundcloud.com/rave_on/paul-van-dyk-live-dorian-gray-frankfurt-28111998,16,22,10,0,22,Category:Paul van Dyk|Category:Dorian Gray (Frankfurt)|Category:Trance|Category:Progressive Trance
mix0045,"1999-01-17 - Paul Oakenfold @ Home, Sydney (Essential Mix)","https://www.mixesdb.com/w/1999-01-17_-_Paul_Oakenfold_@_Home,_Sydney_(Essential_Mix)",soundcloud,https://soundcloud.com/rave_on/paul-oakenfold-live-home-sydney-australia-essential-mix-14-17011999,19,21,16,0,21,Category:Paul Oakenfold|Category:Essential Mix|Category:Home (Sydney)|Category:Trance
mix0046,1999-02-07 - Ed Rush & Optical - Essential Mix,https://www.mixesdb.com/w/1999-02-07_-_Ed_Rush_%26_Optical_-_Essential_Mix,soundcloud,https://soundcloud.com/edrush/ed-rush-optical-essential-mix-07-02-99,28,31,25,0,31,Category:Ed Rush|Category:Optical|Category:Essential Mix|Category:Drum & Bass
mix0047,"1999-02-19 - Brockie @ Hysteria 24 - The Big Payback, Trinity, Bristol","https://www.mixesdb.com/w/1999-02-19_-_Brockie_@_Hysteria_24_-_The_Big_Payback,_Trinity,_Bristol",soundcloud,https://soundcloud.com/gav-lee-1/dj-brockie-hysteria-24,14,16,11,0,16,Category:Brockie|Category:MC Trigga|Category:MC Bassman|Category:MC Palmer The Charmer|Category:Hysteria|Category:The New Trinity Centre|Category:Drum & Bass
mix0048,1999-03 - Cassius @ WMC,https://www.mixesdb.com/w/1999-03_-_Cassius_@_WMC,mixcloud,https://www.mixcloud.com/M_P_M/1999-cassius-wmc/,16,19,13,0,19,Category:Cassius|Category:WMC|Category:House
mix0049,"1999-08-15 - Daft Punk @ El Divino, Ibiza","https://www.mixesdb.com/w/1999-08-15_-_Daft_Punk_@_El_Divino,_Ibiza",soundcloud,http://soundcloud.com/the-green-baron/dj-sneak-and-daft-punk-live-at,16,18,13,0,18,Category:Daft Punk|Category:El Divino (Ibiza)|Category:House
mix0050,"1999-10-02 - DJ Zinc @ One Nation & Warning, Rex Music Arena, London","https://www.mixesdb.com/w/1999-10-02_-_DJ_Zinc_@_One_Nation_%26_Warning,_Rex_Music_Arena,_London",soundcloud,https://soundcloud.com/section23/dj-zinc-feat-mc-det-one-nation,25,26,23,0,26,Category:DJ Zinc|Category:MC Det|Category:One Nation (2)|Category:Warning|Category:Rex Music Arena|Category:Drum & Bass
mix0051,"1999-11-06 - Ed Rush & Optical @ One Nation & Heat, Rex Music Arena, London","https://www.mixesdb.com/w/1999-11-06_-_Ed_Rush_%26_Optical_@_One_Nation_%26_Heat,_Rex_Music_Arena,_London",soundcloud,https://soundcloud.com/h-hill-1/one-nation-and-heat-6th-birthday-99-dj-ed-rush-optical,23,23,22,0,23,Category:Ed Rush|Category:Optical|Category:One Nation (2)|Category:Rex Music Arena|Category:Drum & Bass
mix0052,1999-11-15 - Andy C - Breezeblock - Headline Set,https://www.mixesdb.com/w/1999-11-15_-_Andy_C_-_Breezeblock_-_Headline_Set,mixcloud,https://www.mixcloud.com/john_omally/andy-c-breezeblock-november-1999/,14,14,13,0,14,Category:Andy C|Category:Breezeblock|Category:Drum & Bass
mix0053,"1999-12-10 - DJ Ink & MC AD @ Bladerunnaz, Royal Club, Budapest","https://www.mixesdb.com/w/1999-12-10_-_DJ_Ink_%26_MC_AD_@_Bladerunnaz,_Royal_Club,_Budapest",soundcloud,https://soundcloud.com/bladerunnaz/dj-ink-mc-ad-bladerunnaz-royal-19991210,11,12,9,0,12,Category:Ink (Giles Mensah)|Category:MC AD|Category:Bladerunnaz|Category:Royal Club|Category:Drum & Bass
mix0054,"1999-12-31 - Andy C @ World Dance NYE, 3 Mills Studios","https://www.mixesdb.com/w/1999-12-31_-_Andy_C_@_World_Dance_NYE,_3_Mills_Studios",soundcloud,https://soundcloud.com/eaxsound/andy-c-world-dance-millenium,21,22,19,0,22,Category:Andy C|Category:MC Fatman D|Category:World Dance|Category:3 Mills Studios|Category:Drum & Bass
mix0055,"1999-12-31 - Bryan Gee @ World Dance NYE, 3 Mills Studios","https://www.mixesdb.com/w/1999-12-31_-_Bryan_Gee_@_World_Dance_NYE,_3_Mills_Studios",soundcloud,https://soundcloud.com/eaxsound/bryan-gee-world-dance,14,17,12,0,17,Category:Bryan Gee|Category:MC Fatman D|Category:World Dance|Category:3 Mills Studios|Category:Drum & Bass
mix0056,"1999-12-31 - Optical @ World Dance NYE, 3 Mills Studios","https://www.mixesdb.com/w/1999-12-31_-_Optical_@_World_Dance_NYE,_3_Mills_Studios",soundcloud,https://soundcloud.com/eaxsound/optical-world-dance,19,21,16,0,21,Category:Optical|Category:MC Shabba|Category:World Dance|Category:3 Mills Studios|Category:Drum & Bass
mix0057,"2000-02-11 - Bad Company @ Innovation Valentine's Showcase, Bagleys, London","https://www.mixesdb.com/w/2000-02-11_-_Bad_Company_@_Innovation_Valentine%27s_Showcase,_Bagleys,_London",soundcloud,https://soundcloud.com/eaxsound/bad-company-innovation-valentines-showcase-bagleys-11022000,16,18,14,0,18,Category:Bad Company|Category:MC Flux|Category:Innovation|Category:Bagleys|Category:Drum & Bass
mix0058,"2000-02-11 - Randall @ Innovation Valentine's Showcase, Bagleys, London","https://www.mixesdb.com/w/2000-02-11_-_Randall_@_Innovation_Valentine%27s_Showcase,_Bagleys,_London",soundcloud,https://soundcloud.com/eaxsound/randall-innovation-valentines-showcase-bagleys-11022000,15,17,12,0,17,Category:Randall|Category:MC GQ|Category:MC Fats|Category:Innovation|Category:Bagleys|Category:Drum & Bass
mix0059,"2000-04-11 - Andy C @ Innovation: The Easter Showcase, Mass, London","https://www.mixesdb.com/w/2000-04-11_-_Andy_C_@_Innovation:_The_Easter_Showcase,_Mass,_London",mixcloud,https://www.mixcloud.com/PezWhatley/andy-c-with-navigator-moose-5ive-0-at-innovation-easter-showcase-2000/,19,20,17,0,20,Category:Andy C|Category:MC Navigator|Category:MC Moose|Category:MC 5ive-0|Category:Innovation|Category:Mass (London)|Category:Drum & Bass
mix0060,"2000-04-11 - Bad Company @ Innovation: The Easter Showcase, Mass, London","https://www.mixesdb.com/w/2000-04-11_-_Bad_Company_@_Innovation:_The_Easter_Showcase,_Mass,_London",mixcloud,https://www.mixcloud.com/PezWhatley/bad-company-with-navigator-flux-5ive-0-at-innovation-easter-showcase-2000/,14,16,12,0,16,Category:Bad Company|Category:MC Navigator|Category:MC Flux|Category:MC 5ive-0|Category:Innovation|Category:Mass (London)|Category:Drum & Bass
mix0061,"2000-04-11 - Optical @ Innovation: The Easter Showcase, Mass, London","https://www.mixesdb.com/w/2000-04-11_-_Optical_@_Innovation:_The_Easter_Showcase,_Mass,_London",mixcloud,https://www.mixcloud.com/PezWhatley/optical-with-rhyme-tyme-mc-det-at-innovation-easter-showcase-2000/,19,19,18,0,19,Category:Optical|Category:Ryme Tyme|Category:MC Det|Category:Innovation|Category:Mass (London)|Category:Drum & Bass
mix0062,"2000-04-15 - Ed Rush @ Audiotistic, NOS Event Center, San Bernardino","https://www.mixesdb.com/w/2000-04-15_-_Ed_Rush_@_Audiotistic,_NOS_Event_Center,_San_Bernardino",mixcloud,https://www.mixcloud.com/dnbclassics/ed-rush-live-at-audiotistic-2000/,21,21,20,0,21,Category:Ed Rush|Category:Audiotistic|Category:Nos Event Center|Category:Drum & Bass
mix0063,"2000-04-15 - Usual Suspects @ Bladerunnaz, Vigadó, Budapest","https://www.mixesdb.com/w/2000-04-15_-_Usual_Suspects_@_Bladerunnaz,_Vigad%C3%B3,_Budapest",soundcloud,http://soundcloud.com/bladerunnaz/01-usual-suspects-bladerunnaz-vigado-20000415,17,19,14,0,19,Category:Usual Suspects|Category:Bladerunnaz|Category:Vigadó|Category:Drum & Bass
mix0064,2000-05-03 - Ed Rush & Optical @ Kiss 100 FM,https://www.mixesdb.com/w/2000-05-03_-_Ed_Rush_%26_Optical_@_Kiss_100_FM,soundcloud,https://soundcloud.com/deejayoptical/ed-rush-optical-kiss-fm-2000-05-03,34,37,30,0,37,Category:Ed Rush|Category:Optical|Category:Kiss FM UK|Category:Drum & Bass
