track_name,tempo,rms_mean,n_beats,centroid_mean,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
Music Sounds Better With You,123.046875,0.26718246936798096,1362,2572.824307757582,-143.8028106689453,125.71343231201172,-21.739246368408203,46.54154968261719,-2.5750732421875,24.40361213684082,4.4968132972717285,19.113901138305664,3.4135630130767822,13.442418098449707,4.689289569854736,8.053220748901367,-0.08274652808904648
Let Love In,127.8409090909091,0.2398930937051773,734,3755.2380438260407,-122.64167785644531,123.05557250976562,-33.799278259277344,60.76405715942383,-19.1274471282959,29.036396026611328,-1.3816156387329102,6.944209575653076,8.323216438293457,-1.1020729541778564,12.76536750793457,0.10566660016775131,8.454670906066895
Lady,126.04801829268293,0.23469872772693634,625,2680.8607875470384,-118.62613677978516,135.54168701171875,-36.082557678222656,42.13008117675781,0.4935845732688904,22.3707218170166,-6.563998222351074,10.541584968566895,-1.9971575736999512,5.771939754486084,-3.4652130603790283,6.150179386138916,2.366305351257324
Viva la vida,137.1951219512195,0.06358721852302551,529,2046.7013364258637,-248.52520751953125,171.9163818359375,-37.25788497924805,38.21073913574219,-3.020934820175171,16.426292419433594,-3.5056028366088867,3.8442490100860596,-4.26051664352417,1.8527169227600098,-2.339580774307251,-2.1414923667907715,5.415684700012207
