track_id,tempo,rms_mean,n_beats,centroid_mean,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
-1FRx-nl9hQ,125.0,0.20093877613544464,705,2752.4084762602024,-184.72409057617188,130.4037628173828,-37.81808090209961,49.309837341308594,-18.740962982177734,31.373607635498047,12.044754028320312,5.538442134857178,11.896233558654785,3.5540242195129395,11.850077629089355,-0.8067673444747925,8.389142036437988
-5MYThh21yY,127.8409090909091,0.25766292214393616,839,3500.820778930962,-91.47996520996094,125.01914978027344,-37.25244140625,43.93881607055664,-16.042251586914062,38.819698333740234,-4.037835121154785,23.018741607666016,-5.442596435546875,11.553905487060547,1.5807392597198486,5.578643321990967,5.517450332641602
-5NaCREA7T8,122.28260869565217,0.21431000530719757,866,2869.977902816674,-193.08804321289062,130.18545532226562,-1.053853988647461,35.02707290649414,-14.136358261108398,19.960729598999023,-5.0214080810546875,9.849059104919434,1.155335783958435,1.5801843404769897,-0.9021832346916199,-4.782639980316162,0.6549034714698792
-7q7oV78tes,126.04801829268293,0.18783557415008545,702,1988.834891690801,-232.8980255126953,128.44053649902344,-10.92237377166748,58.4273796081543,-2.6754250526428223,32.68120193481445,7.214509010314941,16.361316680908203,15.382302284240723,9.324700355529785,11.98383903503418,6.3080291748046875,12.59599494934082
-7x8keyHXuA,125.0,0.2645086944103241,764,4009.7988451812057,-129.1057891845703,96.19793701171875,-36.3209114074707,74.59397888183594,-26.98622703552246,42.42707061767578,-2.151643753051758,20.75113296508789,2.3947558403015137,9.970325469970703,10.170226097106934,3.7452685832977295,10.790886878967285
-8LwxN-j6QE,87.890625,0.13107329607009888,473,3362.1428632893108,-202.9095458984375,121.81041717529297,-57.79212188720703,63.815208435058594,-7.65772819519043,27.561159133911133,13.936997413635254,-0.9343857765197754,23.314563751220703,-6.545452117919922,16.255632400512695,-2.738913059234619,2.963656187057495
-8Mrw34C1Fo,125.0,0.2658396065235138,798,3183.423511533963,-199.43507385253906,106.41793823242188,-6.468620777130127,49.486324310302734,-13.16964340209961,36.004119873046875,3.6775577068328857,22.714000701904297,7.167447566986084,11.551133155822754,11.849554061889648,7.731032371520996,10.980110168457031
-ANKebv0QIE,127.8409090909091,0.36850568652153015,736,3762.260502305794,-40.374691009521484,127.859619140625,-59.32601547241211,52.943992614746094,-22.55270767211914,33.79030990600586,-18.10438346862793,19.92770767211914,-6.58971643447876,8.718243598937988,0.48277243971824646,1.6721556186676025,9.132233619689941
-AgoxVlLVHU,137.1951219512195,0.16948850452899933,450,4015.2534896714255,-168.82598876953125,102.96971130371094,-40.64006423950195,72.9496841430664,-15.23630142211914,33.3072509765625,-7.470954418182373,17.44509506225586,4.7475738525390625,14.683575630187988,10.4228515625,3.168158531188965,9.324358940124512
-Ams4ifjqUg,122.28260869565217,0.1757775843143463,1024,3769.4660170725183,-158.83082580566406,104.07472229003906,-34.112945556640625,55.0866813659668,-19.17425537109375,18.311538696289062,-2.211719036102295,10.419299125671387,2.119960069656372,2.19868540763855,3.1941158771514893,2.800159215927124,2.108882188796997
